Layer,	Cycles,	% Utilization,
Input Layer,	50179,	4.493429945928753,
Conv1,	6678,	96.45489386792453,
MaxPool,	7000,	93.90252576164875,
ResidualBlock1_1,	26595,	98.76666653429629,
ResidualBlock1_2,	26595,	98.76666653429629,
ResidualBlock2_1,	13888,	94.40988818229279,
ResidualBlock2_2,	25408,	95.73518701477447,
ResidualBlock3_1,	13887,	87.52454240026644,
ResidualBlock3_2,	27711,	74.79040785924363,
ResidualBlock4_1,	18495,	55.995301728507705,
ResidualBlock4_2,	36927,	38.97179105058629,
AvgPool,	200768,	1.561764539242007,
FC,	8232,	1.516335442989916,
