Layer,	Cycles,	% Utilization,
Conv1,	4551,	34.697112180836136,
Conv2,	386904,	99.8958886139109,
Conv3,	4736,	34.290661917568634,
Conv4,	7040,	34.66987983800078,
Conv5,	3832,	42.91527063754716,
FC1,	147712,	0.38961347030688304,
FC2,	16640,	0.3816452498647755,
FC3,	1034,	0.015059376039901984,
