Layer,	Cycles,	% Utilization,
Conv1,	110281,	98.97567067309872,
CB2a_1,	12576,	99.66873757455268,
CB2a_2,	106016,	99.01491497370655,
CB2a_3,	50207,	99.91703099169439,
CB2s,	50207,	99.91703099169439,
IB2b_1,	50208,	99.91703099169439,
IB2b_2,	106016,	99.01491497370655,
IB2b_3,	50207,	99.91703099169439,
IB2c_1,	50208,	99.91703099169439,
IB2c_2,	106016,	99.01491497370655,
IB2c_3,	50207,	99.91703099169439,
CB3a_1,	26655,	94.10118880135059,
CB3a_2,	101407,	95.98810940997663,
CB3a_3,	51231,	97.92900355741641,
CB3s,	106527,	94.19834584189924,
IB3b_1,	51231,	97.92900355741641,
IB3b_2,	101407,	95.98810940997663,
IB3b_3,	51231,	97.92900355741641,
IB3c_1,	51231,	97.92900355741641,
IB3c_2,	101407,	95.98810940997663,
IB3c_3,	51231,	97.92900355741641,
IB3d_1,	51231,	97.92900355741641,
IB3d_2,	101407,	95.98810940997663,
IB3d_3,	51231,	97.92900355741641,
CB4a_1,	28703,	87.38690070506567,
CB4a_2,	92191,	89.96323698896856,
CB4a_3,	57375,	87.44341979847493,
CB4s,	114719,	87.47170225453064,
IB4b_1,	57375,	87.44341979847493,
IB4b_2,	92191,	89.96323698896856,
IB4b_3,	57375,	87.44341979847493,
IB4c_1,	57375,	87.44341979847493,
IB4c_2,	92191,	89.96323698896856,
IB4c_3,	57375,	87.44341979847493,
IB4d_1,	57375,	87.44341979847493,
IB4d_2,	92191,	89.96323698896856,
IB4d_3,	57375,	87.44341979847493,
IB4e_1,	57375,	87.44341979847493,
IB4e_2,	92191,	89.96323698896856,
IB4e_3,	57375,	87.44341979847493,
IB4f_1,	57375,	87.44341979847493,
IB4f_2,	92191,	89.96323698896856,
IB4f_3,	57375,	87.44341979847493,
RPN_Conv1,	737311,	89.99540327114339,
RPN_Conv_bbox,	7172,	49.197886888160646,
RPN_Conv3_cls,	3605,	48.95984296896695,
