Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  224, 224,    11, 11,    3,      96,     4,
Conv2,  207, 207,    5, 5,      96,     256,    1,
Conv3,  13,  13,     3, 3,      256,    384,    1,
Conv4,  13,  13,     3, 3,      384,    384,    1,
Conv5,  13,  13,     3, 3,      384,    256,    1,
FC1,    1,  1,  1,  1, 9216,    4096,   1,
FC2,    1,  1,  1,  1, 4096,    1024,   1,
FC3,    1,  1,  1,  1, 1024,    10,   1,
