Layer,	Cycles,	% Utilization,
Conv1,	16824,	73.90409352605931,
Conv2,	1595440,	95.55030787940944,
Conv3,	9144,	47.265625,
Conv4,	13968,	45.97976177691867,
Conv5,	12176,	46.03895470597897,
FC1,	165888,	0.390625,
FC2,	24576,	0.390625,
FC3,	2088,	0.390625,
