Layer,	Cycles,	% Utilization,
Conv1,	33431,	74.19925292720454,
Conv2,	6182463,	99.9817031292282,
Conv3,	27711,	94.2506684507055,
Conv4,	41535,	94.34405377242085,
Conv5,	27711,	94.2506684507055,
FC1,	589888,	1.5622496872282319,
FC2,	65600,	1.5602491082181131,
FC3,	1034,	0.24095001663843174,
