Layer,	Cycles,	% Utilization,
Conv1,	771293,	57.14182069444749,
Conv2,	1513300,	76.17038369450661,
Conv3,	1225448,	91.32952535436169,
Conv4,	1203843,	91.13670068926099,
Conv5,	1050635,	96.23942617904947,
Conv6,	937736,	90.60416093814722,
Conv7,	2386952,	95.31128855252501,
Conv8,	3409922,	80.7206968740456,
Conv9,	46093,	80.9927246955439,
