Layer,	Cycles,	% Utilization,
Conv1,	171438,	24.97626031065615,
Conv2,	94680,	49.9471933176084,
Conv3,	46168,	99.45864198659602,
Conv4,	46144,	97.49980169493477,
Conv5,	41535,	99.7969709281329,
Conv6,	36927,	94.32069416517724,
Conv7,	147519,	63.24686089164786,
Conv8,	147519,	76.51942292179312,
Conv9,	2109,	71.97823859256404,
