Layer,	Cycles,	% Utilization,
Conv1,	171438,	6.131151042946146,
Conv2,	42200,	12.367958898873109,
Conv3,	11800,	24.29692243018277,
Conv4,	6083,	46.83154255877414,
Conv5,	3775,	68.67872488463352,
Conv6,	4864,	43.94582959817757,
Conv7,	18687,	31.046245070938355,
Conv8,	37119,	18.95415099704666,
Conv9,	1197,	7.975043320074314,
