Layer,	Cycles,	% Utilization,
Conv1,	171438,	49.98616985401372,
Conv2,	189256,	99.92605150279793,
Conv3,	183776,	99.91028856618146,
Conv4,	182047,	98.87263295158668,
Conv5,	165919,	99.97489362279185,
Conv6,	147487,	94.50604650748879,
Conv7,	442399,	84.36770313676116,
Conv8,	589855,	76.55743784489408,
Conv9,	8220,	74.45545354318735,
